MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
3,91,2,1146,132.669048,0.818192,38,38,22,77,33.63089,31,38541
3,92,1,1380,145.154329,0.823055,44,40,22,83,31.228261,28,43095
3,92,2,1345,142.618795,0.830957,42,40,21,80,32.447584,30,43642
3,93,1,1340,144.861436,0.802434,44,40,17,79,25.56791,23,34261
3,93,2,1296,134.51829,0.90002,40,40,16,57,24.075617,23,31202
3,94,1,1020,123.497475,0.840415,38,34,24,84,35.90098,33,36619
3,94,2,825,108.769553,0.876293,32,30,23,75,32.704242,30,26981
3,95,1,1011,120.961941,0.868287,36,34,20,95,32.083086,29,32436
3,95,2,993,122.033009,0.837924,36,36,21,83,31.414904,29,31195
3,96,1,1509,149.053824,0.853518,36,52,19,80,31.57389,29,47645
3,96,2,1539,147.296465,0.891382,40,48,19,77,31.524366,29,48516
3,97,1,1828,170.811183,0.787324,44,54,18,74,27.200219,24,49722
3,97,2,1660,157.053824,0.845709,40,52,16,94,26.921687,24,44690
3,98,1,1520,150.618795,0.841967,44,42,16,88,25.445395,23,38677
3,98,2,1421,146.083261,0.836764,44,39,15,73,25.202674,23,35813
3,99,1,1324,141.447222,0.83159,40,42,29,90,42.759063,41,56613
3,99,2,1275,136.669048,0.857787,38,40,28,75,41.75451,41,53237
3,100,1,952,116.275649,0.884849,35,35,22,81,34.820378,32,33149
3,100,2,777,107.890873,0.838806,32,30,21,81,31.979408,28,24848
6,1,1,965,119.497475,0.849219,34,36,29,99,42.894301,40,41393
6,1,2,969,119.012193,0.859708,34,34,32,84,43.422085,40,42076
6,2,1,1206,131.539105,0.875886,43,38,24,103,43.383085,39,52320
6,2,2,972,117.982756,0.877484,36,35,24,82,36.001029,33,34993
6,3,1,1764,160.468037,0.860858,46,48,22,91,41.827664,40,73784
6,3,2,1861,171.982756,0.790654,44,54,24,117,46.23482,44,86043
6,4,1,1309,140.568542,0.832479,42,40,26,101,43.317036,42,56702
6,4,2,1476,149.447222,0.830463,42,44,25,102,44.143631,42,65156
6,5,1,1239,135.204581,0.851723,40,38,31,103,48.05004,45,59534
6,5,2,1197,134.618795,0.830028,40,38,31,98,47.383459,44,56718
6,6,1,1527,152.568542,0.824364,46,42,43,113,66.07924,63,100903
6,6,2,1451,148.568542,0.826083,40,46,43,124,67.173673,63,97469
6,7,1,1535,154.033009,0.813,40,48,33,98,55.045603,53,84495
6,7,2,1325,139.204581,0.859248,40,40,34,113,51.113962,48,67726
6,8,1,1227,136.669048,0.825494,38,40,33,101,51.05868,50,62649
6,8,2,1121,131.012193,0.820714,38,36,30,97,49.17752,48,55128
6,9,1,1185,133.740115,0.832539,40,38,33,98,51.637131,51,61190
6,9,2,1090,124.861436,0.878577,36,38,33,103,47.6,45,51884
6,10,1,1224,136.083261,0.830581,44,34,29,94,42.714052,39,52282
6,10,2,1187,134.618795,0.823094,40,38,25,91,42.092671,41,49964
6,11,1,1622,159.790368,0.798288,38,52,24,111,43.508015,40,70570
6,11,2,1559,152.568542,0.841639,46,42,21,80,38.200128,37,59554
6,12,1,1981,175.589358,0.807417,44,58,25,76,39.866734,38,78976
6,12,2,2045,178.811183,0.803737,44,58,31,104,46.926161,43,95964
6,13,1,916,116.669048,0.845657,36,32,31,92,45.004367,43,41224
6,13,2,913,119.012193,0.810024,34,34,31,107,46.0931,44,42083
6,14,1,1741,169.539105,0.761148,44,56,29,91,51.01436,49,88816
6,14,2,1768,164.468037,0.821352,42,54,29,111,52.897059,50,93522
6,15,1,1315,142.325902,0.81577,42,40,30,107,44.915589,42,59064
6,15,2,1283,136.669048,0.86317,40,38,27,107,46.341387,45,59456
6,16,1,910,118.133514,0.819417,34,34,26,104,42.1,40,38311
6,16,2,890,115.012193,0.845497,30,36,29,83,43.703371,42,38896
6,17,1,1252,136.376154,0.845936,38,40,19,107,28.469649,26,35644
6,17,2,1356,137.882251,0.896299,42,41,19,121,29.622419,26,40168
6,18,1,1287,135.154329,0.885378,43,36,22,51,33.233877,33,42772
6,18,2,1322,138.618795,0.864564,46,34,24,121,36.481089,35,48228
6,19,1,1058,125.154329,0.848797,31,43,19,107,31.683365,30,33521
6,19,2,1250,131.39697,0.909807,37,41,22,55,31.9784,31,39973
6,20,1,1559,157.63961,0.788361,42,50,21,83,33.385504,32,52048
6,20,2,1488,148.861436,0.843817,40,46,21,77,30.882392,30,45953
6,21,1,1215,133.831998,0.852445,38,44,23,104,38.162963,36,46368
6,21,2,1294,134.811183,0.894731,40,40,24,75,36.414219,35,47120
